CLIENT MIX ASSUMPTIONS,,,,,
,,,,,
CLIENT TIER MIX,,,,,
Tier,Mix %,Avg Premium,Commission (12%),,
Small Commercial,40%,"$100,000","$12,000",,
Mid-Market,40%,"$280,000","$33,600",,
Large / Complex,20%,"$500,000","$60,000",,
Blended Average,100%,"$252,000","$30,240",,
,,,,,
GRADUATING COMMISSION RATES,,,,,
,Year 1,Year 2,Year 3,Year 4,Year 5
Commission Rate,12.00%,12.25%,12.75%,13.00%,13.50%
Blended Comm / Client,"$30,240","$30,870","$32,130","$32,760","$34,020"
Scale vs Old ($18K),1.680x,1.715x,1.785x,1.820x,1.890x
,,,,,
PREMIUM SERVICE COST,,,,,
Service Cost % of Revenue,14%,16%,18%,19%,20%
Rationale,Onboarding,Growing complexity,Full service,Deepening service,Mature book
,,,,,
Notes:,,,,,
• Blue values are adjustable inputs,,,,,
• Commission rate graduates as book matures and service offerings expand,,,,,
"• Service cost covers: stewardship reports, claims advocacy, dedicated AMs for large accounts",,,,,
• Target EBITDA margin range: 35-45% (industry benchmark for upmarket P&C brokerage),,,,,
